WeatherPy_vacation,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Kulhudhuffushi,MV,81.64,overcast clouds,6.6221,73.07,Haajy Guest House 1
366,Luebo,CD,79.25,light rain,-5.35,21.4167,
369,Yarada,IN,80.92,few clouds,17.65,83.2667,Vishranti
370,Sao Joao Da Barra,BR,84.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
371,Gamba,GA,77.4,overcast clouds,-2.65,10.0,
373,Yenagoa,NG,86.27,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
377,Coxim,BR,89.89,overcast clouds,-18.5067,-54.76,Hotel Avenida
378,Sorong,ID,80.49,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
381,Adjumani,UG,84.97,broken clouds,3.3779,31.7909,Hotel Zawadi
383,Guigue,VE,78.62,broken clouds,10.0853,-67.7792,La vasquereña
385,Lakatoro,VU,79.92,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
389,Quatre Cocos,MU,78.91,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
390,Iralaya,HN,77.09,broken clouds,15.0,-83.2333,Iglesia morava renovada
391,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
395,Hambantota,LK,79.14,thunderstorm,6.1241,81.1185,Bungalow 63
417,Wichian Buri,TH,76.39,scattered clouds,15.6578,101.106,Mit Sali Hotel
421,Awbari,LY,78.89,overcast clouds,26.5921,12.7805,فندق أوباري
423,Lodja,CD,82.22,overcast clouds,-3.4833,23.4333,
425,Pyay,MM,75.15,clear sky,18.8167,95.2167,Shwe Pyi Thar
427,Vondrozo,MG,75.0,light rain,-22.8167,47.2833,
429,Saldanha,ZA,75.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
432,Nouadhibou,MR,85.98,clear sky,20.931,-17.0347,El Medina
435,Mayumba,GA,78.06,overcast clouds,-3.432,10.6554,LIKWALE LODGE
443,Prainha,BR,89.51,few clouds,-1.8,-53.48,Casa Rocha
447,Reyes,BO,86.72,moderate rain,-14.3167,-67.3833,
450,Chauk,MM,77.72,clear sky,20.8833,94.8167,Bo Khin Guest House
453,Lorengau,PG,81.84,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
460,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
462,Gorontalo,ID,75.87,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
469,Presidente Medici,BR,85.6,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
471,Daru,PG,79.56,few clouds,-9.0763,143.2092,Daru Lodge
473,Isangel,VU,77.22,overcast clouds,-19.55,169.2667,Tanna Lodge
481,Manacapuru,BR,84.78,overcast clouds,-3.2997,-60.6206,Novo Hotel
483,Lamu,KE,86.22,overcast clouds,-2.2717,40.902,Lamu House
485,Phon,TH,75.85,overcast clouds,15.816,102.5998,Baan Kru Tum Chiang Khan
486,Monze,ZM,81.73,broken clouds,-16.2833,27.4833,Fay terry lodge
490,Buenos Aires,AR,75.78,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
491,Honiara,SB,77.49,scattered clouds,-9.4333,159.95,Heritage Park Hotel
492,Key West,US,75.2,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
493,Bubaque,GW,82.83,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
495,Le Port,RE,78.8,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
496,Sembe,CG,79.45,overcast clouds,1.6481,14.5806,
497,Barra Patuca,HN,79.83,broken clouds,15.8,-84.2833,
499,Gizo,SB,82.85,light rain,-8.103,156.8419,Imagination Island
506,Sinnamary,GF,84.85,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
509,Ipixuna,BR,87.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
510,Santa Cruz,BO,86.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
512,Kieta,PG,79.14,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
514,Puerto Cabezas,NI,78.76,scattered clouds,14.0351,-83.3888,Cabaña Caribe
515,San Rafael,AR,80.67,clear sky,-34.6177,-68.3301,Hotel San Rafael
520,Rio Grande,BR,75.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
521,Bushehr,IR,75.29,clear sky,28.9684,50.8385,Yas Hotel
524,Isiro,CD,80.96,clear sky,2.7739,27.616,Guest House Hewa Bora
526,Sulangan,PH,83.91,overcast clouds,11.1373,123.7228,Maia's Beach Resort
528,Puerto Escondido,MX,82.69,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
529,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
530,Narasannapeta,IN,78.33,scattered clouds,18.4167,84.05,G.lingaraju home
531,Kibaha,TZ,89.69,broken clouds,-6.7667,38.9167,GOODJANETH GARDEN RESORT
537,Samana,DO,80.82,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
538,Tsabong,BW,86.09,clear sky,-26.0217,22.401,Springbok Motel
539,Tessalit,ML,89.11,overcast clouds,20.1986,1.0114,
544,Sabha,LY,79.3,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
553,Trinidad,BO,85.98,broken clouds,-14.8333,-64.9,Hotel Piesta
554,Santa Vitoria,BR,89.6,broken clouds,-18.8386,-50.1214,Center Hotel
555,Villa Bruzual,VE,86.83,overcast clouds,9.3328,-69.1208,hotel italia
563,Kalmunai,LK,77.74,overcast clouds,7.4167,81.8167,VS Villa
565,Bimbo,CF,89.91,broken clouds,4.2567,18.4158,
568,Gigmoto,PH,79.52,few clouds,13.7796,124.39,Cj's Travellers Inn
570,Siuna,NI,79.21,overcast clouds,13.7332,-84.7773,hotel los chinitos
577,Padre Bernardo,BR,82.94,overcast clouds,-15.35,-48.5,
579,Takoradi,GH,83.79,light rain,4.8845,-1.7554,Raybow International Hotel
580,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
581,Mumford,GH,83.88,clear sky,5.2618,-0.759,Spanish Villa
584,Sao Filipe,CV,81.68,scattered clouds,14.8961,-24.4956,Hotel Xaguate
586,Salaya,IN,79.9,scattered clouds,22.3167,69.6,sumbhaiya suny Muslim Jama
589,Fayaoue,NC,78.19,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
590,Najran,SA,81.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
592,Kupang,ID,82.31,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
594,Morondava,MG,81.75,overcast clouds,-20.2833,44.2833,La Case Bambou
602,Miri,MY,75.34,heavy intensity rain,4.4148,114.0089,"Mega Hotel, Miri"
604,Irpa Irpa,BO,77.25,overcast clouds,-17.7167,-66.2667,Casa de J
606,Vanimo,PG,79.03,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
609,Porto Velho,BR,82.45,scattered clouds,-8.7619,-63.9039,Hotel Central
610,Tabou,CI,83.75,scattered clouds,4.423,-7.3528,hotêl doufoulougou
611,Inirida,CO,87.42,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
616,Eirunepe,BR,81.05,overcast clouds,-6.6603,-69.8736,Atrás de você
617,Abu Dhabi,AE,84.22,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
618,El Real De Santa Maria,PA,75.47,overcast clouds,8.109,-77.7325,
625,Huambo,AO,78.6,broken clouds,-12.7761,15.7392,SiSHotel
628,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
634,Marovoay,MG,84.34,overcast clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
636,Savannah Bight,HN,84.0,broken clouds,16.45,-85.85,Villa on Dunbar Rock
638,Ampanihy,MG,85.06,overcast clouds,-24.7,44.75,Angora Hotel
639,Karratha,AU,82.22,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
642,Moron,AR,75.79,clear sky,-34.6534,-58.6198,Hotel Morón
652,Wajir,KE,89.78,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
654,Sal Rei,CV,86.2,clear sky,16.1833,-22.9167,Marine Club Beach Resort
660,Progreso,MX,79.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
661,Manta,EC,76.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
662,Marsabit,KE,75.42,broken clouds,2.3284,37.9899,Chicho Hotel
663,Ratnapura,LK,77.59,overcast clouds,6.6828,80.3992,Hotel Helenium
665,Tefe,BR,78.91,heavy intensity rain,-3.3542,-64.7114,Aracati Hotel
671,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
673,Alyangula,AU,82.27,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
676,Monrovia,LR,89.37,scattered clouds,6.3005,-10.7969,Sunset Inn
681,Domoni,KM,80.89,broken clouds,-12.2569,44.5319,Al Djadid
684,Nizwa,OM,78.21,clear sky,22.9333,57.5333,Orient Apartments
689,Sassandra,CI,84.78,few clouds,4.95,-6.0833,la terrasse
691,Pathein,MM,76.23,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
