WeatherPy_Database_csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
27,Bathsheba,BB,13.2167,-59.5167,84.81,70,75,16.11,broken clouds
28,Lakes Entrance,AU,-37.8811,147.981,65.16,73,100,2.68,overcast clouds
29,Butaritari,KI,3.0707,172.7902,80.1,82,37,14.47,moderate rain
30,Ambon,ID,-3.6954,128.1814,82.87,67,19,2.75,few clouds
31,Pevek,RU,69.7008,170.3133,-18.56,98,79,2.93,broken clouds
32,Riyadh,SA,24.6877,46.7219,75.34,46,6,13.87,clear sky
33,Port Hedland,AU,-20.3167,118.5667,80.65,78,100,9.22,overcast clouds
34,Bredasdorp,ZA,-34.5322,20.0403,71.28,52,78,11.39,broken clouds
35,Bengkulu,ID,-3.8004,102.2655,76.53,86,100,5.61,heavy intensity rain
36,Santa Barbara,US,34.7333,-120.0343,60.82,56,1,0.0,clear sky
37,Bethel,US,41.3712,-73.414,37.29,63,1,1.99,clear sky
38,Carnarvon,AU,-24.8667,113.6333,71.67,73,0,18.41,clear sky
39,Umea,SE,63.8284,20.2597,33.91,93,0,9.22,light snow
40,Ushuaia,AR,-54.8,-68.3,42.46,61,75,19.57,light intensity drizzle
41,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,90,10.36,light snow
42,Puerto Quijarro,BO,-17.7833,-57.7667,97.34,42,78,5.48,broken clouds
43,Karwar,IN,14.8,74.1333,79.77,86,71,7.43,broken clouds
44,Vaini,TO,-21.2,-175.2,71.76,100,40,3.44,scattered clouds
45,Port Elizabeth,ZA,-33.918,25.5701,68.09,59,20,16.11,few clouds
46,Souillac,MU,-20.5167,57.5167,79.18,69,40,6.91,scattered clouds
47,Tulun,RU,54.5611,100.5792,14.76,96,94,4.72,overcast clouds
48,Saint-Pierre,RE,-21.3393,55.4781,80.28,66,0,9.22,clear sky
49,Banepa,NP,27.6298,85.5214,55.72,88,40,3.44,mist
50,Chokurdakh,RU,70.6333,147.9167,-17.61,99,97,5.53,overcast clouds
51,Sitka,US,57.0531,-135.33,37.29,81,90,6.91,light rain
52,Iqaluit,CA,63.7506,-68.5145,31.73,80,90,28.01,light snow
53,Akhmim,EG,26.5622,31.745,77.2,29,1,10.51,clear sky
54,Altay,CN,47.8667,88.1167,27.93,93,100,4.99,snow
55,Castro,BR,-24.7911,-50.0119,82.9,35,9,6.6,clear sky
56,Punta Arenas,CL,-53.15,-70.9167,44.11,81,99,18.72,overcast clouds
57,Cidreira,BR,-30.1811,-50.2056,73.42,63,46,15.97,scattered clouds
58,Yellowknife,CA,62.456,-114.3525,-15.45,91,1,4.0,clear sky
59,Rio Gallegos,AR,-51.6226,-69.2181,50.05,76,75,16.11,light rain
